-188.495559,-188.495559,-157.079633,-157.079633,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,188.495559,188.495559,219.911486,219.911486
-186.924763,-186.924763,-155.508836,-155.508836,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,186.924763,186.924763,218.340689,218.340689
-185.353967,-185.353967,-153.938040,-153.938040,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,185.353967,185.353967,216.769893,216.769893
-183.783170,-183.783170,-152.367244,-152.367244,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,183.783170,183.783170,215.199097,215.199097
-182.212374,-182.212374,-150.796447,-150.796447,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,182.212374,182.212374,213.628300,213.628300
-180.641578,-180.641578,-149.225651,-149.225651,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,180.641578,180.641578,212.057504,212.057504
-179.070781,-179.070781,-147.654855,-147.654855,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,179.070781,179.070781,210.486708,210.486708
-177.499985,-177.499985,-146.084058,-146.084058,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,177.499985,177.499985,208.915911,208.915911
-175.929189,-175.929189,-144.513262,-144.513262,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,175.929189,175.929189,207.345115,207.345115
-174.358392,-174.358392,-142.942466,-142.942466,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,174.358392,174.358392,205.774319,205.774319
-172.787596,-172.787596,-141.371669,-141.371669,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,172.787596,172.787596,204.203522,204.203522
-171.216800,-171.216800,-139.800873,-139.800873,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,171.216800,171.216800,202.632726,202.632726
-169.646003,-169.646003,-138.230077,-138.230077,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,169.646003,169.646003,201.061930,201.061930
-168.075207,-168.075207,-136.659280,-136.659280,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,168.075207,168.075207,199.491134,199.491134
-166.504411,-166.504411,-135.088484,-135.088484,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,166.504411,166.504411,197.920337,197.920337
-164.933614,-164.933614,-133.517688,-133.517688,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,164.933614,164.933614,196.349541,196.349541
-163.362818,-163.362818,-131.946891,-131.946891,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,163.362818,163.362818,194.778745,194.778745
-161.792022,-161.792022,-130.376095,-130.376095,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,161.792022,161.792022,193.207948,193.207948
-160.221225,-160.221225,-128.805299,-128.805299,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,160.221225,160.221225,191.637152,191.637152
-158.650429,-158.650429,-127.234502,-127.234502,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,158.650429,158.650429,190.066356,190.066356
-157.079633,-157.079633,-125.663706,-125.663706,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,157.079633,157.079633,188.495559,188.495559
-155.508836,-155.508836,-124.092910,-124.092910,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,155.508836,155.508836,186.924763,186.924763
-153.938040,-153.938040,-122.522113,-122.522113,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,153.938040,153.938040,185.353967,185.353967
-152.367244,-152.367244,-120.951317,-120.951317,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,152.367244,152.367244,183.783170,183.783170
-150.796447,-150.796447,-119.380521,-119.380521,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,150.796447,150.796447,182.212374,182.212374
-149.225651,-149.225651,-117.809725,-117.809725,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,149.225651,149.225651,180.641578,180.641578
-147.654855,-147.654855,-116.238928,-116.238928,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,147.654855,147.654855,179.070781,179.070781
-146.084058,-146.084058,-114.668132,-114.668132,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,146.084058,146.084058,177.499985,177.499985
-144.513262,-144.513262,-113.097336,-113.097336,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,144.513262,144.513262,175.929189,175.929189
-142.942466,-142.942466,-111.526539,-111.526539,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,142.942466,142.942466,174.358392,174.358392
-141.371669,-141.371669,-109.955743,-109.955743,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,141.371669,141.371669,172.787596,172.787596
-139.800873,-139.800873,-108.384947,-108.384947,-23.750440,0.000000,0.000000,0.000000,0.000000,31.415927,31.415927,86.582294,139.800873,139.800873,171.216800,171.216800
